Xmin: [6.10692969]  Ymin: [2.20092969]  Zmin: [42.13868171]
Xmin: [6.09350467]  Ymin: [2.18750467]  Zmin: [41.91597591]
Xmin: -1.068  Ymin: -0.248  Zmin: 1.202128
Xmin: [-1.06512086]  Ymin: [-0.24512086]  Zmin: [1.19456667]
Xmin: [-1.06512086]  Ymin: [-0.24512086]  Zmin: [1.19456667]
Xmin: [-1.06512086]  Ymin: [-0.24512086]  Zmin: [1.19456667]
Xmin: [-1.06512086]  Ymin: [-0.24512086]  Zmin: [1.19456667]
Xmin: [-1.06512086]  Ymin: [-0.24512086]  Zmin: [1.19456667]
Xmin: [-1.06512086]  Ymin: [-0.24512086]  Zmin: [1.19456667]
Xmin: [-1.05713862]  Ymin: [-0.23713862]  Zmin: [1.17377679]
Xmin: [-1.04925392]  Ymin: [-0.22925392]  Zmin: [1.15349114]
Xmin: [-1.04766456]  Ymin: [-0.22766456]  Zmin: [1.14943218]
Xmin: [-1.04766456]  Ymin: [-0.22766456]  Zmin: [1.14943218]
Xmin: [-1.04057184]  Ymin: [-0.22057184]  Zmin: [1.13144168]
Xmin: [-1.03986484]  Ymin: [-0.21986484]  Zmin: [1.12965942]
Xmin: [-1.02676157]  Ymin: [-0.20676157]  Zmin: [1.09698966]
Xmin: [-1.02367273]  Ymin: [-0.20367273]  Zmin: [1.08938844]
Xmin: [-1.0215354]  Ymin: [-0.2015354]  Zmin: [1.08415108]
Xmin: [-1.0215354]  Ymin: [-0.2015354]  Zmin: [1.08415108]
Xmin: [-1.0215354]  Ymin: [-0.2015354]  Zmin: [1.08415108]
Xmin: [-1.0215354]  Ymin: [-0.2015354]  Zmin: [1.08415108]
Xmin: [-1.0215354]  Ymin: [-0.2015354]  Zmin: [1.08415108]
Xmin: [-1.01656414]  Ymin: [-0.19656414]  Zmin: [1.07204012]
Xmin: [-1.01575512]  Ymin: [-0.19575512]  Zmin: [1.07007854]
Xmin: [-1.01575512]  Ymin: [-0.19575512]  Zmin: [1.07007854]
Xmin: [-1.01575512]  Ymin: [-0.19575512]  Zmin: [1.07007854]
Xmin: [-1.01198511]  Ymin: [-0.19198511]  Zmin: [1.06097214]
Xmin: [-1.00425083]  Ymin: [-0.18425083]  Zmin: [1.04246811]
Xmin: [-0.96288315]  Ymin: [-0.14288315]  Zmin: [0.94755955]
Xmin: [-0.96288315]  Ymin: [-0.14288315]  Zmin: [0.94755955]
Xmin: [-0.96247391]  Ymin: [-0.14247391]  Zmin: [0.94665485]
