Generation: 0  Xmin: 0.09784955880129811  Ymin: 0.12121618261390889  Zmin: 0.024267899085097203
Generation: 1  Xmin: 0.04291372898312357  Ymin: -0.056413595287837334  Zmin: 0.005024081868536883
Generation: 2  Xmin: -0.034926334165752373  Ymin: -0.07223431806863981  Zmin: 0.006437645525099225
Generation: 3  Xmin: -0.010968768529941567  Ymin: 0.05672399450500977  Zmin: 0.003337925435667815
Generation: 4  Xmin: -0.15003500106348303  Ymin: 0.021989163570514083  Zmin: 0.022994024858650177
Generation: 5  Xmin: 0.13642544240273263  Ymin: 0.06288314514000062  Zmin: 0.022566191277479702
Generation: 6  Xmin: 0.11627474483080791  Ymin: 0.04722260053699538  Zmin: 0.015749790286946126
Generation: 7  Xmin: -0.09357704032138048  Ymin: -0.1375119086869212  Zmin: 0.02766618750602942
Generation: 8  Xmin: -0.11724879085460642  Ymin: -0.03271764544099869  Zmin: 0.01481772328007014
Generation: 9  Xmin: -0.0042127264324395884  Ymin: -0.10348248452104471  Zmin: 0.010726371666642833
Generation: 10  Xmin: -0.024079051519170457  Ymin: -0.11098166028435448  Zmin: 0.012896729641534729
Generation: 11  Xmin: 0.12241929846074028  Ymin: -0.021635882138575323  Zmin: 0.015454596031534129
Generation: 12  Xmin: -0.1357095415081337  Ymin: 0.11192670497280854  Zmin: 0.030944666942417987
Generation: 13  Xmin: -0.0008033893406819495  Ymin: -0.010183946904619628  Zmin: 0.0001043582089888331
Generation: 14  Xmin: -0.0008033893406819495  Ymin: -0.010183946904619628  Zmin: 0.0001043582089888331
Generation: 15  Xmin: 0.041883303098500885  Ymin: 0.10318263035110847  Zmin: 0.012400866284614384
Generation: 16  Xmin: 0.09856838304899061  Ymin: 0.02214925558498339  Zmin: 0.010206315659861458
Generation: 17  Xmin: -0.03824601545272971  Ymin: -0.06305317548547593  Zmin: 0.005438460636812662
Generation: 18  Xmin: 0.024694978030039297  Ymin: 0.040188592447460425  Zmin: 0.002224964902812197
Generation: 19  Xmin: 0.007116087789409906  Ymin: 0.10348599480087449  Zmin: 0.01075998982535321
Generation: 20  Xmin: -0.03822312345181713  Ymin: 0.08095391031739049  Zmin: 0.008014542762088956
Generation: 21  Xmin: 0.033789809962768015  Ymin: -0.02457879134025376  Zmin: 0.0017458682410677099
Generation: 22  Xmin: 0.02015276067947703  Ymin: 0.024274971760108302  Zmin: 0.0009954080169583312
Generation: 23  Xmin: 0.02015276067947703  Ymin: 0.024274971760108302  Zmin: 0.0009954080169583312
Generation: 24  Xmin: 0.0383976872417248  Ymin: -0.08232311385192956  Zmin: 0.008251477459791072
