Xmin: 5.0225567097955555  Ymin: -1.8405584726282356  Zmin: 28.613731394275938
Xmin: 2.7309156161059995  Ymin: -2.0017524262189954  Zmin: 11.464912878165245
Xmin: -1.2556815783376307  Ymin: 1.7630403715139735  Zmin: 4.685047577764613
Xmin: -1.0183974962970381  Ymin: 1.1649172716475484  Zmin: 2.394165710246844
Xmin: -0.8592139831747146  Ymin: 0.7642685494102116  Zmin: 1.3223550845005478
Xmin: -0.8159664289295776  Ymin: 0.6486690886098385  Zmin: 1.086572799658006
Xmin: -0.39018365792752946  Ymin: -0.4422835624917849  Zmin: 0.34785803656413194
Xmin: -0.63751043993995  Ymin: 0.16511230592566306  Zmin: 0.4336816346005184
Xmin: -0.7262867175687943  Ymin: 0.4543301441016273  Zmin: 0.733908275956259
Xmin: -0.7258206669130332  Ymin: 0.4532885149947293  Zmin: 0.7322861183442071
Xmin: -0.7253737243341583  Ymin: 0.45228959268121405  Zmin: 0.7307329156021459
